Measurement time,Number of CPUs cores,CPU 0 freq,CPU 1 freq,CPU 2 freq,CPU 3 freq,Free RAM,Used RAM,Total RAM,Free Swap,Used Swap,Total Swap,CPU load (1m),CPU load (5m),CPU load (15m),Number of processes,Number of bytes received,Number of bytes sent,Number of packets received,Number of packets sent
s,N/A,kHz,kHz,kHz,kHz,kB,kB,kB,kB,kB,kB,%,%,%,N/A,bytes,bytes,N/A,N/A
1570564290.6525803,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,432.0,960.0,6.0,6.0
1570564291.6524231,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564292.6519918,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,6.0
1570564293.6528118,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,4.0
1570564294.6518688,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564295.6523464,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564296.6525898,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564297.6530051,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564298.653102,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564299.6530566,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564300.652626,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564301.6528356,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564302.651871,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
